Region,Date,Start Time,End Time,Title,Season,Episode,Subtitle,Text Color,BG Color
SA,2025-09-29,07:00,07:30,Sister Wives,S1,Ep 142,,#ffffff,#1a1a1a
SA,2025-09-29,07:30,08:00,Radhe Mohan,S3,Ep 68,,#ffffff,#1a1a1a
SA,2025-09-29,08:00,08:30,Twist of Fate: New Era,S10,Ep 29,,#ffffff,#1a1a1a
SA,2025-09-29,08:30,09:00,Hearts Crossed,S1,Ep 15,,#ffffff,#1a1a1a
SA,2025-09-30,07:00,07:30,Sister Wives,S1,Ep 143,,#ffffff,#1a1a1a
SA,2025-09-30,07:30,08:00,Radhe Mohan,S3,Ep 69,,#ffffff,#1a1a1a
SA,2025-09-30,08:00,08:30,Twist of Fate: New Era,S10,Ep 30,,#ffffff,#1a1a1a
ROA,2025-09-29,06:30,07:00,Radhe Mohan,S3,Ep 68,S3 EP 68,#ffffff,#111216
ROA,2025-09-29,07:00,07:30,Twist of Fate: New Era,S10,Ep 29,,#ffffff,#1a1a1a
ROA,2025-09-29,08:00,08:30,Hearts Crossed,S1,Ep 15,,#ffffff,#1a1a1a
ROA,2025-09-30,06:30,07:00,Radhe Mohan,S3,Ep 69,,#ffffff,#1a1a1a
ROA,2025-09-30,07:00,07:30,Twist of Fate: New Era,S10,Ep 30,,#ffffff,#1a1a1a
ROA,2025-10-01,06:30,07:00,Radhe Mohan,S3,Ep 70,,#ffffff,#1a1a1a
ROA,2025-10-01,07:00,07:30,Twist of Fate: New Era,S10,Ep 31,,#ffffff,#1a1a1a
ROA,2025-10-01,08:00,08:30,Hearts Crossed,S1,Ep 16,,#ffffff,#1a1a1a
